ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,DataSource,SortOrder,Sector,TimeValue,BookValue,TaxEquivalentBookYield,PreTaxBookYield,AfterTaxBookYield,PercentTotalBookValue,ParValue,OverweightUnderWeightValue,Rating,Value
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",77,"Finance","2020-12-31",,,,,,,5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",78,"Securitized","2020-12-31",,,,,,,12,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",79,"Treasury","2021-01-31",,,,,,,-11,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",80,"Gov","2021-01-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",81,"Industrial","2021-01-31",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",82,"Utility","2021-01-31",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",83,"Finance","2021-01-31",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",84,"Securitized","2021-01-31",,,,,,,12,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",85,"Treasury","2021-02-28",,,,,,,-5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",86,"Gov","2021-02-28",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",87,"Industrial","2021-02-28",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",88,"Utility","2021-02-28",,,,,,,2,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",89,"Finance","2021-02-28",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",90,"Securitized","2021-02-28",,,,,,,5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",91,"Treasury","2021-03-31",,,,,,,-4,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",92,"Gov","2021-03-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",93,"Industrial","2021-03-31",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",94,"Utility","2021-03-31",,,,,,,3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",95,"Finance","2021-03-31",,,,,,,5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",96,"Securitized","2021-03-31",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",97,"Treasury","2021-04-30",,,,,,,-5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",98,"Gov","2021-04-30",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",99,"Industrial","2021-04-30",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",100,"Utility","2021-04-30",,,,,,,3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",101,"Finance","2021-04-30",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",102,"Securitized","2021-04-30",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",103,"Treasury","2021-05-31",,,,,,,-5,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",104,"Gov","2021-05-31",,,,,,,-6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",105,"Industrial","2021-05-31",,,,,,,-3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",106,"Utility","2021-05-31",,,,,,,3,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",107,"Finance","2021-05-31",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",108,"Securitized","2021-05-31",,,,,,,6,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",109,"Treasury","2021-06-30",,,,,,,-8,,
"USTR111505","2021-12-31","N","USTR","OverWeightUnderWeightGraph",110,"Gov","2021-06-30",,,,,,,-6,,
