ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,Category,Description,Value,BenchmarkValue
"USTR142736","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","2.2520531713647634",
"USTR144831","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","2.765981087824658",
"USTR144831","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","15.459021521646616",
"USTR145021","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.1470379530974886",
"USTR145021","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","6.0418760292212905",
"USTR146479","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.666179732827113",
"USTR146479","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","10.772070690707814",
"USTR151582","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","0.7297732203386126",
"USTR151582","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","4.366113686779785",
"USTR153960","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7701158420486456",
"USTR153960","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","13.140027602615863",
"USTR153969","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","5.373446142468088",
"USTR153969","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","4.692043586137435",
"USTR1549","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5937302539580906",
"USTR1549","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","9.98050637426198",
"USTR156068","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.7535088683348243",
"USTR156068","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","12.299796255404761",
"USTR157992","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","2.2208866738417887",
"USTR157992","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","2.0052474027220004",
"USTR158692","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","2.0089099895531275",
"USTR158692","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","6.7608801400457414",
"USTR1590","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.592213695503432",
"USTR1590","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","11.138537682649297",
"USTR160933","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.04002698166",
"USTR160933","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","2.63952819792",
"USTR163754","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6506938109628653",
"USTR163754","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","24.291436568205985",
"USTR164442","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5584689497481927",
"USTR164442","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","9.066358083605023",
"USTR164848","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6006664050191217",
"USTR164848","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","12.226800849557836",
"USTR165267","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6155612151543768",
"USTR165267","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","10.271763939186568",
"USTR165304","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.4829799967725894",
"USTR165304","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","10.445176763193247",
"USTR165715","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","2.001204061613276",
"USTR165715","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","1.9425446684313254",
"USTR167836","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6946526629427665",
"USTR167836","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","11.969416635129683",
"USTR168325","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.38022548049",
"USTR168325","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","0.54136287435",
"USTR170000","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6993922565873116",
"USTR170000","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","13.008181227774378",
"USTR170539","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6038776404106665",
"USTR170539","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","11.57643426530405",
"USTR1708","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.04002698166",
"USTR1708","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","2.63952819792",
"USTR170869","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.5235182750743619",
"USTR170869","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","18.64667670345291",
"USTR1709","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6284829004286485",
"USTR1709","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","9.127028595395203",
"USTR1710","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6886375651711043",
"USTR1710","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","10.84724058020148",
"USTR1717","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.6481448419249747",
"USTR1717","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","11.451946759982349",
"USTR1728","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","1.135475980098668",
"USTR1728","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","6.875937683158803",
"USTR175835","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","2.4020666267479913",
"USTR175835","2020-12-31","N","USTR",1,"USTR Account Profile","Market Value","2.10372753911992",
"USTR175895","2020-12-31","N","USTR",1,"USTR Account Profile","Yield to Worst (%)","-0.43682097762118255",
