ProductID, PeriodDate, AdhocFlag, LineofBusinessCode, SortOrder, EquityFlag, TaxType, BenchmarkFlag, PerformanceType, Description, MTD, QTD, YTD, PriorYear, PriorTwoYear, PriorThreeYear, PriorFourYear, PriorFiveYear, PriorSevenYear, PriorTenYear, CYPriorYear, CYPriorTwoYear, CYPriorThreeYear, CYPriorFourYear, CYPriorFiveYear, CYPriorSixYear, CYPriorSevenYear, CYPriorEightYear, CYPriorNineYear, CYPriorTenYear, CYPriorElevenYear, CYPriorTwelveYear, SinceInceptionReturn, InceptionDate, ValueAdded, Risk, TrackingError, InfoRatio, PriorThreeMonth, PriorSixMonth, PriorNineMonth, CurrentQuarter, 
"USTR117383", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR118454", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR118454", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR118704", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR118704", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR119230", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR119230", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR124648", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR124648", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR125580", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR125580", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR125587", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR125587", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR126261", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR126261", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR126950", "2020-12-31", "N", "USTR", 1, , , "N", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
"USTR126950", "2020-12-31", "N", "USTR", 2, , , "Y", , , 0, 0, 0, , 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , "0", "2021-01-01", , , , , , , , 0, 
