ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR3093","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.35,0.86,7.58,7.51,8.11,5.34,4.89,4.44,4.09,0.00,,,,,,,,,,,,,7.58,"2021-01-01",,,,,,,
"USTR3165","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.07,0.86,13.25,13.25,13.77,8.03,8.04,7.61,7.09,0.00,,,,,,,,,,,,,13.25,"2021-01-01",,,,,,,
"USTR3165","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.07,0.86,13.25,13.26,13.84,7.97,7.87,7.14,6.94,0.00,,,,,,,,,,,,,13.25,"2021-01-01",,,,,,,
"USTR3218","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.05,1.07,9.65,9.65,10.27,6.30,6.00,5.52,0.00,0.00,,,,,,,,,,,,,9.65,"2021-01-01",,,,,,,
"USTR3218","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.05,1.07,9.65,9.65,10.27,6.30,6.00,5.52,0.00,0.00,,,,,,,,,,,,,9.65,"2021-01-01",,,,,,,
"USTR3219","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.50,5.10,15.84,15.84,19.85,11.48,10.41,9.60,8.50,0.00,,,,,,,,,,,,,15.84,"2021-01-01",,,,,,,
"USTR3219","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.50,5.10,15.84,13.29,18.21,10.38,9.71,8.98,8.22,0.00,,,,,,,,,,,,,15.84,"2021-01-01",,,,,,,
"USTR3230","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.45,1.06,8.13,8.13,8.94,5.86,5.59,5.25,4.86,0.00,,,,,,,,,,,,,8.13,"2021-01-01",,,,,,,
"USTR3230","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.45,1.06,8.13,7.51,8.11,5.34,4.89,4.44,4.09,0.00,,,,,,,,,,,,,8.13,"2021-01-01",,,,,,,
"USTR3248","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.18,1.61,9.12,9.12,10.62,6.50,6.15,5.91,5.48,0.00,,,,,,,,,,,,,9.12,"2021-01-01",,,,,,,
"USTR3248","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.18,1.61,9.12,9.93,10.83,6.48,6.20,5.85,5.49,0.00,,,,,,,,,,,,,9.12,"2021-01-01",,,,,,,
"USTR3255","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.02,1.10,10.21,10.21,10.79,6.53,6.28,5.00,4.42,0.00,,,,,,,,,,,,,10.21,"2021-01-01",,,,,,,
"USTR3255","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.02,1.10,10.21,10.21,10.79,6.53,6.28,5.00,4.42,0.00,,,,,,,,,,,,,10.21,"2021-01-01",,,,,,,
"USTR3281","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.07,0.87,13.72,13.72,14.40,8.42,8.46,7.70,7.85,0.00,,,,,,,,,,,,,13.72,"2021-01-01",,,,,,,
"USTR3281","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.07,0.87,13.72,14.05,14.62,8.31,8.34,7.55,7.83,0.00,,,,,,,,,,,,,13.72,"2021-01-01",,,,,,,
"USTR3327","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.49,1.03,7.86,7.86,8.72,5.76,5.47,5.07,4.70,0.00,,,,,,,,,,,,,7.86,"2021-01-01",,,,,,,
"USTR3327","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.49,1.03,7.86,7.51,8.11,5.34,4.89,4.44,4.09,0.00,,,,,,,,,,,,,7.86,"2021-01-01",,,,,,,
"USTR3329","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.13,1.18,13.31,13.31,13.86,7.97,7.90,7.17,7.28,0.00,,,,,,,,,,,,,13.31,"2021-01-01",,,,,,,
"USTR3329","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.13,1.18,13.31,13.31,13.86,7.97,7.90,7.17,7.28,0.00,,,,,,,,,,,,,13.31,"2021-01-01",,,,,,,
"USTR3369","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.21,1.56,12.51,12.51,13.15,7.87,7.67,7.09,6.83,0.00,,,,,,,,,,,,,12.51,"2021-01-01",,,,,,,
"USTR3369","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.21,1.56,12.51,12.45,13.01,7.57,7.42,6.75,6.66,0.00,,,,,,,,,,,,,12.51,"2021-01-01",,,,,,,
"USTR3434","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.15,1.15,13.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,13.53,"2021-01-01",,,,,,,
"USTR3434","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-0.15,1.15,13.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,13.53,"2021-01-01",,,,,,,
"USTR346","2020-12-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.25,0.64,7.78,7.78,8.46,5.67,5.21,4.82,4.57,4.33,,,,,,,,,,,,,7.78,"2021-01-01",,,,,,,
"USTR346","2020-12-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",0.25,0.64,7.78,7.51,8.11,5.34,4.89,4.44,4.09,3.84,,,,,,,,,,,,,7.78,"2021-01-01",,,,,,,
